tree_id,year,tree_dbh,health,spc_latin,spc_common,root_stone,root_grate,root_other,trunk_wire,address,zipcode,boro_name,longitude,latitude,block_code,sidewalk
9309,2015,17.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"258 STANLEY AVENUE, Staten Island",10301,Staten Island,-74.09355307,40.63416091,TEST-10301,
9077,2015,0.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"6 METROPOLITAN OVAL, Bronx",10462,Bronx,-73.85907641,40.83871342,TEST-10462,Unknown
2881,2015,1.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"382 BAY STREET, Staten Island",10301,Staten Island,-74.07553921,40.63273073,TEST-10301,
2882,2015,1.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"382 BAY STREET, Staten Island",10301,Staten Island,-74.07551368,40.6327803,TEST-10301,
19793,2015,0.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"22-015 99 STREET, East Elmhurst",11369,Queens,-73.87148066,40.77074883,TEST-11369,Unknown
19794,2015,1.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"22-010 99 STREET, East Elmhurst",11369,Queens,-73.87161969,40.7708189,TEST-11369,
8865,2015,0.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"50-005 164 STREET, Fresh Meadows",11365,Queens,-73.80311022,40.74701834,TEST-11365,Unknown
5322,2015,6.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"1100 GERARD AVENUE, Bronx",10452,Bronx,-73.921609,40.83304092,TEST-10452,
4258,2015,3.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"4 WASHINGTON TERRACE, New York",10033,Manhattan,-73.92952036,40.85148351,TEST-10033,
5911,2015,2.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"60-028 QUEENS BOULEVARD, Woodside",11377,Queens,-73.90361474,40.74127736,TEST-11377,
6011,2015,5.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"139 BAY STREET, Staten Island",10301,Staten Island,-74.07575287,40.63830454,TEST-10301,
4257,2015,4.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"4 WASHINGTON TERRACE, New York",10033,Manhattan,-73.92959395,40.85151405,TEST-10033,
184,2015,2.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"1025 EAST 163 STREET, Bronx",10459,Bronx,-73.89206356,40.82095275,TEST-10459,
477,2015,0.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"3050 BRIGHTON 1 STREET, Brooklyn",11235,Brooklyn,-73.96700323,40.57741856,TEST-11235,Unknown
15432,2015,8.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"75 JACKSON STREET, Staten Island",10304,Staten Island,-74.08054938,40.62962781,TEST-10304,
3358,2015,6.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"45 MC GUINNESS BOULEVARD, Brooklyn",11222,Brooklyn,-73.94791904,40.72414734,TEST-11222,
8002,2015,0.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"2 PIERREPONT PLACE, Brooklyn",11201,Brooklyn,-73.99726218,40.69601947,TEST-11201,Unknown
9225,2015,0.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"801 CROTONA PARK NORTH, Bronx",10457,Bronx,-73.89098233,40.84027892,TEST-10457,Unknown
21004,2015,3.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"1440 PLIMPTON AVENUE, Bronx",10452,Bronx,-73.92192967,40.84432123,TEST-10452,
7993,2015,0.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"198 COLUMBIA HEIGHTS, Brooklyn",11201,Brooklyn,-73.99690913,40.69720464,TEST-11201,Unknown
7525,2015,3.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"1685 RANDALL AVENUE, Bronx",10473,Bronx,-73.86835815,40.81668326,TEST-10473,
1477,2015,0.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"25-002 FRANCIS LEWIS BOULEVARD, Flushing",11358,Queens,-73.79782538,40.77435314,TEST-11358,Unknown
8842,2015,0.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"49-027 164 STREET, Fresh Meadows",11365,Queens,-73.80274107,40.7482311,TEST-11365,Unknown
15462,2015,0.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"25-053 COLLEGE POINT BOULEVARD, Flushing",11354,Queens,-73.8464893,40.77537492,TEST-11354,Unknown
8867,2015,0.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"50-005 164 STREET, Fresh Meadows",11365,Queens,-73.8031774,40.74685775,TEST-11365,Unknown
4262,2015,4.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"501 WEST 186 STREET, New York",10033,Manhattan,-73.92898749,40.85126237,TEST-10033,
19796,2015,0.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"22-010 99 STREET, East Elmhurst",11369,Queens,-73.87211286,40.77094866,TEST-11369,Unknown
7843,2015,12.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"85-043 75 STREET, Woodhaven",11421,Queens,-73.86715035,40.69363016,TEST-11421,
5321,2015,0.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"1112 GERARD AVENUE, Bronx",10452,Bronx,-73.92154191,40.83315524,TEST-10452,Unknown
9015,2015,0.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"164-005 UNDERHILL AVENUE, Fresh Meadows",11365,Queens,-73.80406112,40.74474545,TEST-11365,Unknown
5657,2015,4.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"40 RICHMOND TERRACE, Staten Island",10301,Staten Island,-74.07636079,40.6440066,TEST-10301,
4906,2015,4.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"1205 COLLEGE AVENUE, Bronx",10456,Bronx,-73.91398845,40.83287356,TEST-10456,
9813,2015,0.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"13-011 209 STREET, Bayside",11360,Queens,-73.78382553,40.78835222,TEST-11360,Unknown
3561,2015,0.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"55-008 111 STREET, Corona",11368,Queens,-73.85069267,40.7419348,TEST-11368,Unknown
7855,2015,0.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"74-009 85 ROAD, Woodhaven",11421,Queens,-73.86817092,40.69407481,TEST-11421,Unknown
2039,2015,0.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"137-005 NORTHERN BOULEVARD, Flushing",11354,Queens,-73.83099197,40.7632618,TEST-11354,Unknown
3272,2015,0.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"2245 ESPLANADE, Bronx",10469,Bronx,-73.85530062,40.85934704,TEST-10469,Unknown
11428,2015,0.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"59-017 PALMETTO STREET, Ridgewood",11385,Queens,-73.90259787,40.70734069,TEST-11385,Unknown
